exception_id,trade_id,account_id,customer_id,exception_reason,priority,exception_status,exception_amount,currency,created_ts,sla_due_ts,resolved_ts,case_owner,escalation_level,policy_id,policy_version_expected,source_system
EXC-0000011,TRD-00007980,ACC-0000453,CUST-000314,COUNTERPARTY_MISMATCH,P3,RESOLVED,3448298.94,USD,2026-05-17T22:36:45,2026-05-18T02:36:45,2026-05-18T03:45:45,OPS-063,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000012,TRD-00012220,ACC-0000455,CUST-000026,INSUFFICIENT_SECURITIES,P1,PENDING_COUNTERPARTY,5006436.69,USD,2026-06-15T09:34:20,2026-06-15T10:34:20,,OPS-002,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000013,TRD-00016713,ACC-0000931,CUST-000097,LATE_AFFIRMATION,P2,IN_PROGRESS,5112906.89,SGD,2026-01-17T14:47:28,2026-01-17T16:47:28,,OPS-060,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000014,TRD-00003812,ACC-0000392,CUST-000456,MARKET_CUTOFF_MISSED,P4,RESOLVED,379015.85,USD,2026-06-10T22:53:17,2026-06-11T06:53:17,2026-06-11T07:42:17,OPS-050,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000015,TRD-00016353,ACC-0000161,CUST-000194,MARKET_CUTOFF_MISSED,P2,RESOLVED,382269.65,SGD,2026-06-25T03:31:41,2026-06-25T05:31:41,2026-06-25T06:31:41,OPS-029,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000016,TRD-00017860,ACC-0000589,CUST-000149,ACCOUNT_RESTRICTION,P4,RESOLVED,2594987.81,AUD,2026-02-06T20:39:30,2026-02-07T04:39:30,2026-02-07T05:25:30,OPS-007,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000017,TRD-00014351,ACC-0000328,CUST-000291,LATE_AFFIRMATION,P1,PENDING_COUNTERPARTY,2599332.74,USD,2026-07-01T16:31:00,2026-07-01T17:31:00,,OPS-066,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000018,TRD-00005868,ACC-0000571,CUST-000177,LATE_AFFIRMATION,P3,ESCALATED,1298169.66,AUD,2026-06-24T05:22:30,2026-06-24T09:22:30,,OPS-038,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000019,TRD-00016827,ACC-0000587,CUST-000129,SSI_MISMATCH,P2,IN_PROGRESS,964735.82,USD,2026-02-01T18:24:25,2026-02-01T20:24:25,,OPS-049,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000020,TRD-00007043,ACC-0000371,CUST-000425,INSUFFICIENT_CASH,P4,RESOLVED,5511906.13,USD,2026-02-25T07:30:03,2026-02-25T15:30:03,2026-02-25T18:12:03,OPS-061,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000021,TRD-00016891,ACC-0000639,CUST-000144,LATE_AFFIRMATION,P3,PENDING_COUNTERPARTY,1988529.47,USD,2026-07-20T06:51:46,2026-07-20T10:51:46,,OPS-040,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000022,TRD-00007062,ACC-0000771,CUST-000292,MARKET_CUTOFF_MISSED,P4,OPEN,4319820.80,USD,2026-07-03T12:22:19,2026-07-03T20:22:19,,OPS-019,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000023,TRD-00005733,ACC-0000239,CUST-000151,INSUFFICIENT_CASH,P3,IN_PROGRESS,2228241.63,USD,2026-06-25T23:43:20,2026-06-26T03:43:20,,OPS-025,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000024,TRD-00007111,ACC-0000767,CUST-000295,INSUFFICIENT_SECURITIES,P3,PENDING_COUNTERPARTY,3368008.18,EUR,2026-07-18T02:47:34,2026-07-18T06:47:34,,OPS-008,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000025,TRD-00008953,ACC-0000351,CUST-000037,COUNTERPARTY_MISMATCH,P2,PENDING_COUNTERPARTY,11872678.23,EUR,2026-04-16T18:16:26,2026-04-16T20:16:26,,OPS-002,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000026,TRD-00007566,ACC-0000873,CUST-000430,INSUFFICIENT_CASH,P3,OPEN,14052.14,CAD,2026-06-05T22:43:10,2026-06-06T02:43:10,,OPS-047,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000027,TRD-00012994,ACC-0000181,CUST-000020,COUNTERPARTY_MISMATCH,P4,IN_PROGRESS,10441447.79,EUR,2026-06-16T04:48:34,2026-06-16T12:48:34,,OPS-007,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000028,TRD-00006026,ACC-0000927,CUST-000483,INSUFFICIENT_CASH,P2,PENDING_COUNTERPARTY,2570467.50,USD,2026-07-06T05:44:46,2026-07-06T07:44:46,,OPS-002,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000029,TRD-00010665,ACC-0000583,CUST-000080,SSI_MISMATCH,P4,OPEN,240391.06,USD,2026-05-04T21:30:12,2026-05-05T05:30:12,,OPS-065,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000030,TRD-00003584,ACC-0000366,CUST-000419,INSUFFICIENT_CASH,P3,OPEN,1282870.58,EUR,2026-07-08T16:50:58,2026-07-08T20:50:58,,OPS-029,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000031,TRD-00007010,ACC-0000429,CUST-000032,LATE_AFFIRMATION,P3,IN_PROGRESS,7457440.92,USD,2026-07-19T17:01:12,2026-07-19T21:01:12,,OPS-012,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000032,TRD-00018925,ACC-0000917,CUST-000135,ACCOUNT_RESTRICTION,P3,RESOLVED,4621868.01,USD,2026-05-20T15:12:27,2026-05-20T19:12:27,2026-05-20T19:28:27,OPS-021,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000033,TRD-00016690,ACC-0000753,CUST-000458,LATE_AFFIRMATION,P3,ESCALATED,1359839.91,USD,2026-07-15T02:48:23,2026-07-15T06:48:23,,OPS-015,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000034,TRD-00001002,ACC-0000750,CUST-000364,ACCOUNT_RESTRICTION,P3,OPEN,2301593.38,JPY,2026-06-28T03:03:06,2026-06-28T07:03:06,,OPS-058,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000035,TRD-00003436,ACC-0000445,CUST-000169,COUNTERPARTY_MISMATCH,P4,RESOLVED,4262327.95,USD,2026-06-14T22:21:07,2026-06-15T06:21:07,2026-06-15T07:31:07,OPS-035,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000036,TRD-00005002,ACC-0000866,CUST-000035,INSUFFICIENT_SECURITIES,P3,PENDING_COUNTERPARTY,206235.34,AUD,2026-04-28T06:36:12,2026-04-28T10:36:12,,OPS-050,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000037,TRD-00006919,ACC-0000687,CUST-000449,LATE_AFFIRMATION,P3,IN_PROGRESS,4329143.46,EUR,2026-03-13T09:59:16,2026-03-13T13:59:16,,OPS-066,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000038,TRD-00013008,ACC-0000317,CUST-000481,SSI_MISMATCH,P2,RESOLVED,3643976.48,USD,2026-07-01T14:58:03,2026-07-01T16:58:03,2026-07-01T17:53:03,OPS-062,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000039,TRD-00013995,ACC-0000716,CUST-000388,MARKET_CUTOFF_MISSED,P2,OPEN,1415026.35,USD,2026-07-18T01:00:53,2026-07-18T03:00:53,,OPS-064,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000040,TRD-00000046,ACC-0000355,CUST-000005,INSUFFICIENT_SECURITIES,P3,PENDING_COUNTERPARTY,534674.59,USD,2026-06-26T11:11:44,2026-06-26T15:11:44,,OPS-036,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000041,TRD-00003443,ACC-0000546,CUST-000392,INSUFFICIENT_CASH,P4,ESCALATED,2808120.51,USD,2026-06-06T07:37:11,2026-06-06T15:37:11,,OPS-074,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000042,TRD-00019785,ACC-0000459,CUST-000050,ACCOUNT_RESTRICTION,P4,OPEN,2322666.20,EUR,2026-04-04T01:11:07,2026-04-04T09:11:07,,OPS-008,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000043,TRD-00015855,ACC-0000042,CUST-000078,COUNTERPARTY_MISMATCH,P3,IN_PROGRESS,352899.69,GBP,2026-07-18T21:26:54,2026-07-19T01:26:54,,OPS-049,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000044,TRD-00019021,ACC-0000479,CUST-000461,INSUFFICIENT_SECURITIES,P3,RESOLVED,709882.02,USD,2026-06-02T07:06:10,2026-06-02T11:06:10,2026-06-02T12:20:10,OPS-063,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000045,TRD-00009018,ACC-0000795,CUST-000243,ACCOUNT_RESTRICTION,P2,IN_PROGRESS,841207.79,AUD,2026-06-08T10:51:38,2026-06-08T12:51:38,,OPS-053,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000046,TRD-00019509,ACC-0000970,CUST-000070,COUNTERPARTY_MISMATCH,P3,RESOLVED,6349705.47,USD,2026-05-25T13:58:32,2026-05-25T17:58:32,2026-05-25T18:20:32,OPS-018,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000047,TRD-00000874,ACC-0000934,CUST-000461,COUNTERPARTY_MISMATCH,P2,RESOLVED,783658.34,USD,2026-07-19T16:49:30,2026-07-19T18:49:30,2026-07-19T21:07:30,OPS-062,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000048,TRD-00013824,ACC-0000481,CUST-000232,INSUFFICIENT_SECURITIES,P4,RESOLVED,259073.16,USD,2026-06-02T05:22:52,2026-06-02T13:22:52,2026-06-02T15:16:52,OPS-006,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000049,TRD-00019552,ACC-0000287,CUST-000267,LATE_AFFIRMATION,P3,IN_PROGRESS,7575400.48,EUR,2026-04-28T19:22:29,2026-04-28T23:22:29,,OPS-061,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000050,TRD-00010274,ACC-0000418,CUST-000314,COUNTERPARTY_MISMATCH,P4,OPEN,1499087.26,USD,2026-07-20T18:09:51,2026-07-21T02:09:51,,OPS-050,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000051,TRD-00013859,ACC-0000617,CUST-000228,LATE_AFFIRMATION,P2,OPEN,4000000.34,USD,2026-07-11T06:48:12,2026-07-11T08:48:12,,OPS-002,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000052,TRD-00003976,ACC-0000511,CUST-000449,INSUFFICIENT_CASH,P4,RESOLVED,1259151.38,EUR,2026-06-21T07:29:48,2026-06-21T15:29:48,2026-06-21T16:08:48,OPS-071,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000053,TRD-00012213,ACC-0000738,CUST-000147,SSI_MISMATCH,P4,RESOLVED,1926348.59,CAD,2026-07-15T20:41:22,2026-07-16T04:41:22,2026-07-16T05:16:22,OPS-046,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000054,TRD-00013448,ACC-0000388,CUST-000041,MARKET_CUTOFF_MISSED,P2,ESCALATED,2241656.19,EUR,2026-06-22T00:52:20,2026-06-22T02:52:20,,OPS-040,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000055,TRD-00018344,ACC-0000556,CUST-000020,SSI_MISMATCH,P4,OPEN,4272513.27,EUR,2026-05-11T21:22:55,2026-05-12T05:22:55,,OPS-061,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000056,TRD-00008993,ACC-0000493,CUST-000438,INSUFFICIENT_SECURITIES,P3,RESOLVED,7224187.23,AUD,2026-07-15T10:32:16,2026-07-15T14:32:16,2026-07-15T15:28:16,OPS-043,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000057,TRD-00001349,ACC-0000599,CUST-000034,SSI_MISMATCH,P2,RESOLVED,1967324.52,USD,2026-06-13T18:18:20,2026-06-13T20:18:20,2026-06-13T21:09:20,OPS-041,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000058,TRD-00018537,ACC-0000263,CUST-000399,COUNTERPARTY_MISMATCH,P3,PENDING_COUNTERPARTY,4645320.32,JPY,2026-07-06T15:03:44,2026-07-06T19:03:44,,OPS-007,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000059,TRD-00000885,ACC-0000800,CUST-000357,COUNTERPARTY_MISMATCH,P4,RESOLVED,2904598.47,USD,2026-02-27T13:19:31,2026-02-27T21:19:31,2026-02-27T23:10:31,OPS-009,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000060,TRD-00011926,ACC-0000350,CUST-000249,MARKET_CUTOFF_MISSED,P3,IN_PROGRESS,4587772.05,USD,2026-06-02T20:15:55,2026-06-03T00:15:55,,OPS-024,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000061,TRD-00004316,ACC-0000738,CUST-000147,LATE_AFFIRMATION,P3,IN_PROGRESS,4135857.46,CAD,2026-04-30T12:34:39,2026-04-30T16:34:39,,OPS-048,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000062,TRD-00016994,ACC-0000812,CUST-000279,ACCOUNT_RESTRICTION,P3,PENDING_COUNTERPARTY,48744.79,EUR,2026-04-01T06:47:23,2026-04-01T10:47:23,,OPS-075,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000063,TRD-00011777,ACC-0000719,CUST-000225,MARKET_CUTOFF_MISSED,P4,ESCALATED,620776.75,AUD,2026-06-18T09:07:51,2026-06-18T17:07:51,,OPS-014,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000064,TRD-00001905,ACC-0000403,CUST-000403,COUNTERPARTY_MISMATCH,P4,IN_PROGRESS,2872211.39,USD,2026-07-15T02:45:36,2026-07-15T10:45:36,,OPS-061,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000065,TRD-00019588,ACC-0000837,CUST-000114,ACCOUNT_RESTRICTION,P2,PENDING_COUNTERPARTY,3538892.08,CAD,2026-06-15T07:33:58,2026-06-15T09:33:58,,OPS-048,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000066,TRD-00012111,ACC-0000765,CUST-000468,INSUFFICIENT_CASH,P3,IN_PROGRESS,6119518.81,USD,2026-07-02T21:31:21,2026-07-03T01:31:21,,OPS-002,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000067,TRD-00007156,ACC-0000239,CUST-000151,INSUFFICIENT_CASH,P2,RESOLVED,8596704.46,USD,2026-07-16T15:21:41,2026-07-16T17:21:41,2026-07-16T19:45:41,OPS-042,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000068,TRD-00009552,ACC-0000111,CUST-000204,INSUFFICIENT_CASH,P3,RESOLVED,338873.22,EUR,2026-05-09T14:43:16,2026-05-09T18:43:16,2026-05-09T19:59:16,OPS-048,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000069,TRD-00010461,ACC-0000703,CUST-000231,MARKET_CUTOFF_MISSED,P1,RESOLVED,2437158.14,GBP,2026-06-30T15:05:07,2026-06-30T16:05:07,2026-06-30T15:52:07,OPS-056,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000070,TRD-00009334,ACC-0000108,CUST-000088,ACCOUNT_RESTRICTION,P2,ESCALATED,5858515.47,AUD,2026-05-20T08:20:23,2026-05-20T10:20:23,,OPS-056,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000071,TRD-00004820,ACC-0000065,CUST-000321,INSUFFICIENT_CASH,P4,PENDING_COUNTERPARTY,4791081.53,SGD,2026-07-18T14:39:25,2026-07-18T22:39:25,,OPS-062,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000072,TRD-00011029,ACC-0000672,CUST-000038,COUNTERPARTY_MISMATCH,P2,IN_PROGRESS,94147.28,USD,2026-07-15T10:36:43,2026-07-15T12:36:43,,OPS-058,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000073,TRD-00018618,ACC-0000670,CUST-000394,MARKET_CUTOFF_MISSED,P4,OPEN,979158.39,CAD,2026-07-10T04:13:35,2026-07-10T12:13:35,,OPS-042,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000074,TRD-00019756,ACC-0000071,CUST-000433,INSUFFICIENT_SECURITIES,P2,OPEN,3838858.89,CAD,2026-07-16T21:26:47,2026-07-16T23:26:47,,OPS-013,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000075,TRD-00006063,ACC-0000322,CUST-000134,ACCOUNT_RESTRICTION,P4,RESOLVED,8189653.48,JPY,2026-07-16T07:01:37,2026-07-16T15:01:37,2026-07-16T17:51:37,OPS-047,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000076,TRD-00006082,ACC-0000927,CUST-000483,COUNTERPARTY_MISMATCH,P4,RESOLVED,2046495.35,USD,2026-06-28T17:05:14,2026-06-29T01:05:14,2026-06-29T02:45:14,OPS-068,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000077,TRD-00001634,ACC-0000428,CUST-000188,INSUFFICIENT_CASH,P3,ESCALATED,5296366.94,USD,2026-05-14T11:13:53,2026-05-14T15:13:53,,OPS-030,L2,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000078,TRD-00007730,ACC-0000280,CUST-000354,INSUFFICIENT_CASH,P3,OPEN,11010710.69,USD,2026-07-20T12:59:28,2026-07-20T16:59:28,,OPS-011,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000079,TRD-00006640,ACC-0000512,CUST-000379,SSI_MISMATCH,P3,IN_PROGRESS,127070.72,EUR,2026-05-22T07:11:34,2026-05-22T11:11:34,,OPS-002,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000080,TRD-00007252,ACC-0000671,CUST-000088,LATE_AFFIRMATION,P2,PENDING_COUNTERPARTY,424418.34,AUD,2026-07-15T13:48:43,2026-07-15T15:48:43,,OPS-025,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000081,TRD-00000625,ACC-0000875,CUST-000438,INSUFFICIENT_CASH,P2,RESOLVED,10899463.10,AUD,2026-05-05T07:27:48,2026-05-05T09:27:48,2026-05-05T09:20:48,OPS-044,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000082,TRD-00009475,ACC-0000969,CUST-000447,MARKET_CUTOFF_MISSED,P2,RESOLVED,1534784.11,USD,2026-06-30T14:11:47,2026-06-30T16:11:47,2026-06-30T18:22:47,OPS-070,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000083,TRD-00019134,ACC-0000758,CUST-000453,COUNTERPARTY_MISMATCH,P2,PENDING_COUNTERPARTY,570183.11,EUR,2026-07-12T08:53:49,2026-07-12T10:53:49,,OPS-037,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000084,TRD-00013631,ACC-0000095,CUST-000327,COUNTERPARTY_MISMATCH,P3,OPEN,787603.50,USD,2026-07-20T13:14:14,2026-07-20T17:14:14,,OPS-042,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000085,TRD-00005813,ACC-0000343,CUST-000191,LATE_AFFIRMATION,P4,RESOLVED,7500160.71,USD,2026-06-25T10:10:44,2026-06-25T18:10:44,2026-06-25T18:44:44,OPS-014,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000086,TRD-00009910,ACC-0000898,CUST-000356,MARKET_CUTOFF_MISSED,P3,IN_PROGRESS,2444153.17,GBP,2026-07-17T09:11:48,2026-07-17T13:11:48,,OPS-048,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000087,TRD-00013033,ACC-0000374,CUST-000072,INSUFFICIENT_SECURITIES,P4,RESOLVED,455638.02,SGD,2026-03-14T10:19:31,2026-03-14T18:19:31,2026-03-14T17:56:31,OPS-017,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000088,TRD-00016602,ACC-0000586,CUST-000418,SSI_MISMATCH,P3,OPEN,11283088.70,USD,2026-02-25T21:59:44,2026-02-26T01:59:44,,OPS-042,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000089,TRD-00016320,ACC-0000489,CUST-000145,COUNTERPARTY_MISMATCH,P3,RESOLVED,2801916.66,USD,2026-07-17T13:00:55,2026-07-17T17:00:55,2026-07-17T18:10:55,OPS-036,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000090,TRD-00001501,ACC-0000176,CUST-000030,INSUFFICIENT_SECURITIES,P3,RESOLVED,446977.61,USD,2026-07-12T02:49:08,2026-07-12T06:49:08,2026-07-12T08:16:08,OPS-028,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000091,TRD-00015632,ACC-0000379,CUST-000124,INSUFFICIENT_SECURITIES,P4,RESOLVED,907630.38,USD,2026-06-26T12:51:07,2026-06-26T20:51:07,2026-06-26T23:12:07,OPS-022,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000092,TRD-00009341,ACC-0000636,CUST-000181,MARKET_CUTOFF_MISSED,P2,OPEN,2039357.91,CAD,2026-07-20T00:07:44,2026-07-20T02:07:44,,OPS-039,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000093,TRD-00001961,ACC-0000071,CUST-000433,SSI_MISMATCH,P2,RESOLVED,2982760.19,CAD,2026-03-25T10:43:53,2026-03-25T12:43:53,2026-03-25T12:29:53,OPS-056,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000094,TRD-00003979,ACC-0000021,CUST-000440,ACCOUNT_RESTRICTION,P3,IN_PROGRESS,8790276.01,GBP,2026-07-18T20:55:40,2026-07-19T00:55:40,,OPS-075,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000095,TRD-00002408,ACC-0000716,CUST-000388,ACCOUNT_RESTRICTION,P2,RESOLVED,10267586.77,USD,2026-07-13T01:47:42,2026-07-13T03:47:42,2026-07-13T05:32:42,OPS-018,L1,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000096,TRD-00002587,ACC-0000017,CUST-000311,MARKET_CUTOFF_MISSED,P3,RESOLVED,928779.97,USD,2026-07-13T17:34:11,2026-07-13T21:34:11,2026-07-13T23:04:11,OPS-071,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
EXC-0000097,TRD-00012089,ACC-0000824,CUST-000003,SSI_MISMATCH,P3,RESOLVED,2652642.39,USD,2026-07-06T20:24:38,2026-07-07T00:24:38,2026-07-07T02:38:38,OPS-029,NONE,POL-SET-001,3.0,SETTLEMENT_EXCEPTION_HUB
