case_id,case_type,linked_record_id,customer_id,account_id,priority,case_status,created_ts,last_updated_ts,owner_id,queue_name,sla_breached_flag,data_classification,source_system
CASE-0000015,SETTLEMENT_EXCEPTION,EXC-0001235,CUST-000093,ACC-0000506,P2,IN_PROGRESS,2026-04-10T05:03:54,2026-04-16T04:03:54,CASE-002,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000016,SETTLEMENT_EXCEPTION,EXC-0002167,CUST-000255,ACC-0000382,P3,CLOSED,2026-03-14T12:12:10,2026-03-18T02:12:10,CASE-021,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000017,SETTLEMENT_EXCEPTION,EXC-0001892,CUST-000433,ACC-0000071,P4,IN_PROGRESS,2026-04-29T13:27:38,2026-05-02T01:27:38,CASE-078,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000018,SETTLEMENT_EXCEPTION,EXC-0001117,CUST-000342,ACC-0000496,P3,WAITING,2026-06-07T04:02:20,2026-06-14T14:02:20,CASE-086,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000019,SETTLEMENT_EXCEPTION,EXC-0001920,CUST-000292,ACC-0000929,P3,CLOSED,2026-07-03T07:24:10,2026-07-03T10:24:10,CASE-008,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000020,POLICY_QUERY,,CUST-000417,ACC-0000717,P2,WAITING,2026-05-21T16:32:35,2026-05-22T05:32:35,CASE-087,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000021,CORPORATE_ACTION,CA-0000105,CUST-000395,ACC-0000016,P3,OPEN,2026-05-13T19:55:02,2026-05-17T16:55:02,CASE-020,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000022,SETTLEMENT_EXCEPTION,EXC-0001334,CUST-000020,ACC-0000556,P3,CLOSED,2026-04-24T15:12:32,2026-05-05T21:12:32,CASE-031,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000023,RECONCILIATION_BREAK,BRK-0001565,CUST-000124,ACC-0000739,P2,CLOSED,2026-03-21T05:32:02,2026-03-24T07:32:02,CASE-059,RECON_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000024,CORPORATE_ACTION,CA-0000392,CUST-000373,ACC-0000690,P4,OPEN,2026-06-27T21:49:17,2026-07-04T05:49:17,CASE-036,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000025,RECONCILIATION_BREAK,BRK-0000797,CUST-000361,ACC-0000766,P4,ESCALATED,2026-06-17T05:57:56,2026-06-24T05:57:56,CASE-011,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000026,CORPORATE_ACTION,CA-0000438,CUST-000255,ACC-0000380,P3,OPEN,2026-04-25T04:01:39,2026-05-02T21:01:39,CASE-006,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000027,POLICY_QUERY,,CUST-000031,ACC-0000660,P2,WAITING,2026-04-23T09:17:58,2026-04-29T01:17:58,CASE-006,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000028,CORPORATE_ACTION,CA-0000313,CUST-000362,ACC-0000888,P4,OPEN,2026-06-13T02:49:02,2026-06-24T07:49:02,CASE-012,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000029,POLICY_QUERY,,CUST-000436,ACC-0000662,P3,OPEN,2026-06-01T10:50:14,2026-06-09T07:50:14,CASE-019,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000030,RECONCILIATION_BREAK,BRK-0000382,CUST-000256,ACC-0000469,P2,IN_PROGRESS,2026-05-14T16:32:50,2026-05-21T16:32:50,CASE-084,RECON_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000031,RECONCILIATION_BREAK,BRK-0001177,CUST-000237,ACC-0000552,P1,OPEN,2026-04-27T15:16:17,2026-05-05T11:16:17,CASE-078,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000032,SETTLEMENT_EXCEPTION,EXC-0000964,CUST-000160,ACC-0000570,P4,WAITING,2026-03-19T14:06:45,2026-03-28T19:06:45,CASE-015,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000033,RECONCILIATION_BREAK,BRK-0000467,CUST-000059,ACC-0000768,P4,WAITING,2026-07-01T14:00:07,2026-07-12T00:00:07,CASE-022,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000034,SETTLEMENT_EXCEPTION,EXC-0000145,CUST-000122,ACC-0000926,P4,OPEN,2026-04-28T04:41:06,2026-05-09T18:41:06,CASE-045,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000035,RECONCILIATION_BREAK,BRK-0000228,CUST-000311,ACC-0000836,P3,IN_PROGRESS,2026-06-01T04:46:50,2026-06-02T07:46:50,CASE-048,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000036,CORPORATE_ACTION,CA-0000186,CUST-000500,ACC-0000504,P2,IN_PROGRESS,2026-05-21T05:16:42,2026-05-30T05:16:42,CASE-021,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000037,RECONCILIATION_BREAK,BRK-0000913,CUST-000390,ACC-0000564,P2,IN_PROGRESS,2026-07-19T09:01:20,2026-07-21T07:30:00,CASE-005,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000038,SETTLEMENT_EXCEPTION,EXC-0000740,CUST-000374,ACC-0000863,P3,CLOSED,2026-04-13T08:15:29,2026-04-20T21:15:29,CASE-068,SETTLEMENT_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000039,SETTLEMENT_EXCEPTION,EXC-0000685,CUST-000396,ACC-0000465,P2,CLOSED,2026-03-01T02:55:23,2026-03-06T05:55:23,CASE-024,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000040,CORPORATE_ACTION,CA-0000647,CUST-000057,ACC-0000698,P4,IN_PROGRESS,2026-07-11T11:27:49,2026-07-13T04:27:49,CASE-081,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000041,RECONCILIATION_BREAK,BRK-0000589,CUST-000453,ACC-0000654,P3,CLOSED,2026-06-07T20:05:46,2026-06-10T19:05:46,CASE-064,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000042,RECONCILIATION_BREAK,BRK-0001108,CUST-000446,ACC-0000807,P3,OPEN,2026-07-14T22:10:11,2026-07-18T05:10:11,CASE-008,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000043,SETTLEMENT_EXCEPTION,EXC-0000488,CUST-000211,ACC-0000191,P3,WAITING,2026-04-22T08:43:17,2026-04-22T21:43:17,CASE-064,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000044,RECONCILIATION_BREAK,BRK-0000408,CUST-000406,ACC-0000515,P4,IN_PROGRESS,2026-06-27T14:08:15,2026-07-08T06:08:15,CASE-030,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000045,SETTLEMENT_EXCEPTION,EXC-0000382,CUST-000334,ACC-0000696,P3,IN_PROGRESS,2026-03-28T23:28:07,2026-04-02T12:28:07,CASE-024,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000046,CORPORATE_ACTION,CA-0000878,CUST-000326,ACC-0000220,P2,OPEN,2026-06-12T15:51:36,2026-06-14T17:51:36,CASE-038,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000047,CORPORATE_ACTION,CA-0000322,CUST-000309,ACC-0000151,P1,CLOSED,2026-04-29T10:46:47,2026-05-10T16:46:47,CASE-060,CORP_ACTIONS_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000048,SETTLEMENT_EXCEPTION,EXC-0001493,CUST-000295,ACC-0000767,P4,WAITING,2026-04-15T15:41:46,2026-04-26T16:41:46,CASE-010,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000049,SETTLEMENT_EXCEPTION,EXC-0000289,CUST-000067,ACC-0000952,P3,OPEN,2026-06-17T12:52:32,2026-06-27T16:52:32,CASE-059,SETTLEMENT_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000050,RECONCILIATION_BREAK,BRK-0001742,CUST-000213,ACC-0000080,P2,OPEN,2026-05-24T08:34:26,2026-05-30T12:34:26,CASE-045,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000051,SETTLEMENT_EXCEPTION,EXC-0001276,CUST-000421,ACC-0000523,P2,CLOSED,2026-06-21T16:22:46,2026-07-03T22:22:46,CASE-019,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000052,RECONCILIATION_BREAK,BRK-0000096,CUST-000368,ACC-0000740,P4,CLOSED,2026-04-22T07:04:52,2026-04-28T18:04:52,CASE-043,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000053,RECONCILIATION_BREAK,BRK-0000616,CUST-000311,ACC-0000017,P4,WAITING,2026-06-26T23:33:08,2026-07-01T07:33:08,CASE-074,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000054,RECONCILIATION_BREAK,BRK-0001148,CUST-000419,ACC-0000311,P3,ESCALATED,2026-03-29T13:35:36,2026-03-30T05:35:36,CASE-069,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000055,RECONCILIATION_BREAK,BRK-0001432,CUST-000325,ACC-0000093,P4,CLOSED,2026-04-12T15:41:15,2026-04-19T17:41:15,CASE-078,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000056,CORPORATE_ACTION,CA-0000015,CUST-000296,ACC-0000221,P3,OPEN,2026-03-16T22:47:56,2026-03-19T23:47:56,CASE-017,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000057,SETTLEMENT_EXCEPTION,EXC-0000846,CUST-000208,ACC-0000266,P3,OPEN,2026-04-05T16:55:47,2026-04-16T20:55:47,CASE-077,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000058,CORPORATE_ACTION,CA-0000884,CUST-000450,ACC-0000709,P3,CLOSED,2026-05-13T18:25:08,2026-05-17T09:25:08,CASE-089,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000059,RECONCILIATION_BREAK,BRK-0001051,CUST-000245,ACC-0000092,P4,OPEN,2026-07-07T20:27:37,2026-07-10T20:27:37,CASE-085,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000060,RECONCILIATION_BREAK,BRK-0000687,CUST-000104,ACC-0000085,P3,OPEN,2026-03-05T16:41:02,2026-03-14T20:41:02,CASE-003,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000061,CORPORATE_ACTION,CA-0000862,CUST-000335,ACC-0000044,P3,IN_PROGRESS,2026-06-10T12:13:30,2026-06-20T06:13:30,CASE-067,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000062,RECONCILIATION_BREAK,BRK-0000837,CUST-000041,ACC-0000606,P3,CLOSED,2026-05-24T00:57:23,2026-05-30T15:57:23,CASE-015,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000063,SETTLEMENT_EXCEPTION,EXC-0000990,CUST-000294,ACC-0000353,P3,ESCALATED,2026-03-31T23:21:13,2026-04-05T17:21:13,CASE-078,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000064,SETTLEMENT_EXCEPTION,EXC-0001240,CUST-000210,ACC-0000844,P3,CLOSED,2026-06-07T13:29:59,2026-06-14T09:29:59,CASE-051,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000065,RECONCILIATION_BREAK,BRK-0000612,CUST-000435,ACC-0000591,P3,IN_PROGRESS,2026-07-20T18:38:35,2026-07-21T07:30:00,CASE-002,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000066,SETTLEMENT_EXCEPTION,EXC-0000487,CUST-000309,ACC-0000490,P4,WAITING,2026-05-07T04:54:01,2026-05-13T04:54:01,CASE-029,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000067,POLICY_QUERY,,CUST-000481,ACC-0000362,P3,IN_PROGRESS,2026-07-21T00:26:54,2026-07-21T07:30:00,CASE-022,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000068,SETTLEMENT_EXCEPTION,EXC-0001650,CUST-000396,ACC-0000534,P4,WAITING,2026-03-30T20:02:34,2026-04-02T08:02:34,CASE-012,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000069,SETTLEMENT_EXCEPTION,EXC-0000109,CUST-000143,ACC-0000473,P2,ESCALATED,2026-05-30T12:40:12,2026-06-09T14:40:12,CASE-054,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000070,CORPORATE_ACTION,CA-0000038,CUST-000440,ACC-0000021,P4,IN_PROGRESS,2026-05-06T19:42:48,2026-05-10T18:42:48,CASE-001,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000071,RECONCILIATION_BREAK,BRK-0000826,CUST-000055,ACC-0000661,P2,IN_PROGRESS,2026-07-03T04:54:16,2026-07-04T10:54:16,CASE-036,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000072,SETTLEMENT_EXCEPTION,EXC-0000573,CUST-000311,ACC-0000001,P4,CLOSED,2026-04-22T19:38:14,2026-05-04T21:38:14,CASE-050,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000073,CORPORATE_ACTION,CA-0000074,CUST-000124,ACC-0000077,P3,CLOSED,2026-05-09T21:06:22,2026-05-18T12:06:22,CASE-060,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000074,SETTLEMENT_EXCEPTION,EXC-0001164,CUST-000187,ACC-0000915,P4,IN_PROGRESS,2026-05-31T13:55:11,2026-06-03T08:55:11,CASE-083,SETTLEMENT_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000075,RECONCILIATION_BREAK,BRK-0001347,CUST-000418,ACC-0000335,P2,WAITING,2026-03-18T20:59:30,2026-03-26T20:59:30,CASE-080,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000076,CORPORATE_ACTION,CA-0000341,CUST-000339,ACC-0000907,P4,OPEN,2026-05-30T20:42:23,2026-05-31T11:42:23,CASE-010,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000077,RECONCILIATION_BREAK,BRK-0000298,CUST-000390,ACC-0000281,P3,ESCALATED,2026-06-20T07:40:54,2026-06-23T08:40:54,CASE-050,RECON_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000078,RECONCILIATION_BREAK,BRK-0001196,CUST-000074,ACC-0000526,P4,WAITING,2026-07-04T20:26:19,2026-07-13T21:26:19,CASE-054,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000079,SETTLEMENT_EXCEPTION,EXC-0000280,CUST-000091,ACC-0000864,P2,CLOSED,2026-04-24T09:27:53,2026-04-27T08:27:53,CASE-050,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000080,POLICY_QUERY,,CUST-000385,ACC-0000099,P2,CLOSED,2026-06-10T08:53:32,2026-06-21T22:53:32,CASE-019,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000081,SETTLEMENT_EXCEPTION,EXC-0000368,CUST-000275,ACC-0000688,P3,CLOSED,2026-05-28T08:39:58,2026-06-06T19:39:58,CASE-053,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000082,SETTLEMENT_EXCEPTION,EXC-0000648,CUST-000337,ACC-0000745,P3,WAITING,2026-06-16T13:26:02,2026-06-16T16:26:02,CASE-006,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000083,SETTLEMENT_EXCEPTION,EXC-0000197,CUST-000406,ACC-0000135,P4,IN_PROGRESS,2026-05-10T15:28:28,2026-05-21T17:28:28,CASE-059,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000084,CORPORATE_ACTION,CA-0000620,CUST-000352,ACC-0000431,P1,OPEN,2026-05-18T21:57:43,2026-05-19T03:57:43,CASE-054,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000085,CORPORATE_ACTION,CA-0000727,CUST-000500,ACC-0000316,P3,CLOSED,2026-07-16T06:52:04,2026-07-21T07:30:00,CASE-020,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000086,RECONCILIATION_BREAK,BRK-0000715,CUST-000430,ACC-0000113,P3,IN_PROGRESS,2026-05-24T05:16:26,2026-05-30T17:16:26,CASE-042,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000087,RECONCILIATION_BREAK,BRK-0000007,CUST-000357,ACC-0000442,P3,OPEN,2026-06-28T10:55:42,2026-06-30T14:55:42,CASE-050,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000088,RECONCILIATION_BREAK,BRK-0001017,CUST-000264,ACC-0000215,P3,CLOSED,2026-04-12T11:02:48,2026-04-17T16:02:48,CASE-033,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000089,CORPORATE_ACTION,CA-0000194,CUST-000075,ACC-0000876,P4,OPEN,2026-05-02T06:24:24,2026-05-14T15:24:24,CASE-029,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000090,CORPORATE_ACTION,CA-0000355,CUST-000301,ACC-0000884,P3,OPEN,2026-06-11T11:55:39,2026-06-14T18:55:39,CASE-023,CORP_ACTIONS_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000091,RECONCILIATION_BREAK,BRK-0000938,CUST-000491,ACC-0000749,P3,CLOSED,2026-03-30T04:02:37,2026-04-08T15:02:37,CASE-067,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000092,SETTLEMENT_EXCEPTION,EXC-0000003,CUST-000427,ACC-0000415,P4,CLOSED,2026-04-06T23:29:54,2026-04-09T13:29:54,CASE-003,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000093,SETTLEMENT_EXCEPTION,EXC-0001661,CUST-000168,ACC-0000558,P3,CLOSED,2026-05-18T05:50:54,2026-05-18T14:50:54,CASE-064,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000094,POLICY_QUERY,,CUST-000310,ACC-0000066,P3,OPEN,2026-04-04T13:04:47,2026-04-12T02:04:47,CASE-040,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000095,POLICY_QUERY,,CUST-000164,ACC-0000656,P3,OPEN,2026-06-25T08:30:44,2026-07-05T10:30:44,CASE-058,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000096,SETTLEMENT_EXCEPTION,EXC-0001954,CUST-000442,ACC-0000577,P4,IN_PROGRESS,2026-05-20T20:57:36,2026-05-27T02:57:36,CASE-010,SETTLEMENT_OPS,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000097,SETTLEMENT_EXCEPTION,EXC-0001392,CUST-000371,ACC-0000270,P3,IN_PROGRESS,2026-05-23T20:47:39,2026-05-27T02:47:39,CASE-025,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000098,RECONCILIATION_BREAK,BRK-0000545,CUST-000140,ACC-0000882,P3,CLOSED,2026-03-09T03:43:51,2026-03-15T20:43:51,CASE-032,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000099,RECONCILIATION_BREAK,BRK-0000225,CUST-000195,ACC-0000701,P4,IN_PROGRESS,2026-03-07T09:50:31,2026-03-17T15:50:31,CASE-004,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000100,SETTLEMENT_EXCEPTION,EXC-0000069,CUST-000231,ACC-0000703,P4,CLOSED,2026-06-21T13:22:42,2026-06-24T17:22:42,CASE-057,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000101,POLICY_QUERY,,CUST-000299,ACC-0000549,P3,OPEN,2026-07-08T17:09:13,2026-07-18T09:09:13,CASE-084,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000102,RECONCILIATION_BREAK,BRK-0000548,CUST-000002,ACC-0000555,P2,WAITING,2026-06-22T22:10:36,2026-06-28T13:10:36,CASE-018,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000103,POLICY_QUERY,,CUST-000017,ACC-0000014,P3,CLOSED,2026-04-17T03:57:50,2026-04-22T09:57:50,CASE-010,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000104,POLICY_QUERY,,CUST-000329,ACC-0000783,P2,IN_PROGRESS,2026-06-22T15:57:03,2026-07-03T20:57:03,CASE-003,POLICY_CONTROL,Y,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000105,POLICY_QUERY,,CUST-000077,ACC-0000103,P3,CLOSED,2026-05-13T01:32:45,2026-05-15T11:32:45,CASE-064,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000106,RECONCILIATION_BREAK,BRK-0001485,CUST-000383,ACC-0000304,P4,IN_PROGRESS,2026-03-18T06:46:14,2026-03-23T13:46:14,CASE-057,RECON_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000107,POLICY_QUERY,,CUST-000215,ACC-0000625,P2,CLOSED,2026-07-17T17:14:35,2026-07-21T07:30:00,CASE-075,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000108,POLICY_QUERY,,CUST-000291,ACC-0000328,P3,CLOSED,2026-03-15T14:51:25,2026-03-19T14:51:25,CASE-032,POLICY_CONTROL,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000109,SETTLEMENT_EXCEPTION,EXC-0000227,CUST-000129,ACC-0000087,P3,IN_PROGRESS,2026-06-28T11:51:17,2026-07-09T09:51:17,CASE-047,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000110,SETTLEMENT_EXCEPTION,EXC-0001000,CUST-000228,ACC-0000297,P4,CLOSED,2026-05-09T12:37:55,2026-05-15T17:37:55,CASE-072,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000111,SETTLEMENT_EXCEPTION,EXC-0000420,CUST-000304,ACC-0000175,P4,ESCALATED,2026-05-09T09:16:45,2026-05-14T11:16:45,CASE-036,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
CASE-0000112,SETTLEMENT_EXCEPTION,EXC-0000571,CUST-000055,ACC-0000408,P3,CLOSED,2026-06-08T01:01:59,2026-06-19T03:01:59,CASE-042,SETTLEMENT_OPS,N,CONFIDENTIAL,OPS_CASE_MGMT
