account_id,customer_id,account_type,base_currency,market,country_code,open_date,account_status,risk_rating,maker_checker_required,access_scope,last_review_date
ACC-0000025,CUST-000435,SAFEKEEPING,CAD,TSX,CA,2020-12-20,RESTRICTED,LOW,Y,OPS_STANDARD,2026-04-29
ACC-0000026,CUST-000346,PLEDGE,USD,NYSE,US,2025-07-30,ACTIVE,LOW,Y,OPS_STANDARD,2026-04-19
ACC-0000027,CUST-000211,CASH,EUR,XETRA,DE,2019-06-09,DORMANT,LOW,Y,OPS_RESTRICTED,2025-05-11
ACC-0000028,CUST-000473,PLEDGE,GBP,LSE,GB,2021-11-12,CLOSED,MEDIUM,Y,OPS_STANDARD,2025-08-31
ACC-0000029,CUST-000308,SEGREGATED,USD,NYSE,US,2025-06-29,ACTIVE,HIGH,Y,OPS_STANDARD,2025-03-06
ACC-0000030,CUST-000012,OMNIBUS,GBP,LSE,GB,2024-03-16,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-06-27
ACC-0000031,CUST-000209,OMNIBUS,EUR,EURONEXT,FR,2020-12-10,ACTIVE,LOW,Y,OPS_STANDARD,2025-03-05
ACC-0000032,CUST-000425,OMNIBUS,USD,NASDAQ,US,2017-03-12,ACTIVE,LOW,Y,OPS_STANDARD,2025-05-16
ACC-0000033,CUST-000256,CASH,CAD,TSX,CA,2018-12-31,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-03-25
ACC-0000034,CUST-000260,PLEDGE,USD,NYSE,US,2024-06-21,CLOSED,MEDIUM,Y,OPS_STANDARD,2025-12-20
ACC-0000035,CUST-000302,CASH,USD,NYSE,US,2025-11-01,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-11-03
ACC-0000036,CUST-000431,SEGREGATED,CAD,TSX,CA,2025-07-03,RESTRICTED,LOW,Y,OPS_STANDARD,2025-12-20
ACC-0000037,CUST-000182,CASH,SGD,SGX,SG,2018-08-10,ACTIVE,LOW,Y,OPS_STANDARD,2025-01-02
ACC-0000038,CUST-000045,PLEDGE,JPY,TSE,JP,2026-03-30,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-06-21
ACC-0000039,CUST-000265,SAFEKEEPING,USD,NASDAQ,US,2026-03-28,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-28
ACC-0000040,CUST-000364,PLEDGE,JPY,TSE,JP,2025-09-08,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-05-04
ACC-0000041,CUST-000352,OMNIBUS,GBP,LSE,GB,2025-10-06,DORMANT,MEDIUM,Y,OPS_STANDARD,2025-09-16
ACC-0000042,CUST-000078,SAFEKEEPING,GBP,LSE,GB,2026-01-25,ACTIVE,LOW,Y,OPS_STANDARD,2025-02-05
ACC-0000043,CUST-000030,PLEDGE,USD,NASDAQ,US,2026-05-03,ACTIVE,HIGH,Y,OPS_STANDARD,2026-02-15
ACC-0000044,CUST-000335,OMNIBUS,USD,NASDAQ,US,2024-05-04,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-02-22
ACC-0000045,CUST-000488,SEGREGATED,USD,NASDAQ,US,2025-11-16,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-15
ACC-0000046,CUST-000352,SEGREGATED,GBP,LSE,GB,2025-05-18,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-02-24
ACC-0000047,CUST-000350,PLEDGE,EUR,XETRA,DE,2019-12-05,ACTIVE,LOW,Y,OPS_STANDARD,2026-04-18
ACC-0000048,CUST-000075,CASH,GBP,LSE,GB,2022-01-14,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-11-23
ACC-0000049,CUST-000452,PLEDGE,USD,NYSE,US,2021-10-16,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-04-23
ACC-0000050,CUST-000269,SEGREGATED,USD,NYSE,US,2025-01-25,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-04-05
ACC-0000051,CUST-000176,CASH,USD,NYSE,US,2024-11-11,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-09-13
ACC-0000052,CUST-000072,OMNIBUS,SGD,SGX,SG,2026-03-20,DORMANT,MEDIUM,Y,OPS_STANDARD,2026-03-15
ACC-0000053,CUST-000203,SEGREGATED,AUD,ASX,AU,2023-03-24,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-11-16
ACC-0000054,CUST-000219,SEGREGATED,EUR,EURONEXT,FR,2020-08-11,CLOSED,LOW,Y,OPS_STANDARD,2026-04-30
ACC-0000055,CUST-000094,SAFEKEEPING,USD,NASDAQ,US,2023-11-30,ACTIVE,HIGH,Y,OPS_STANDARD,2026-02-02
ACC-0000056,CUST-000353,OMNIBUS,EUR,EURONEXT,FR,2024-05-04,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-01-13
ACC-0000057,CUST-000474,SAFEKEEPING,JPY,TSE,JP,2025-05-26,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-04-10
ACC-0000058,CUST-000498,CASH,USD,NYSE,US,2024-11-29,ACTIVE,LOW,Y,OPS_STANDARD,2025-05-18
ACC-0000059,CUST-000180,CASH,USD,NASDAQ,US,2021-05-13,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-27
ACC-0000060,CUST-000269,OMNIBUS,USD,NYSE,US,2025-05-02,ACTIVE,LOW,Y,OPS_RESTRICTED,2026-05-04
ACC-0000061,CUST-000220,CASH,CAD,TSX,CA,2026-05-17,ACTIVE,LOW,Y,OPS_STANDARD,2025-09-21
ACC-0000062,CUST-000289,SAFEKEEPING,GBP,LSE,GB,2025-11-25,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2026-02-21
ACC-0000063,CUST-000320,PLEDGE,CAD,TSX,CA,2020-03-12,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-02-02
ACC-0000064,CUST-000434,PLEDGE,USD,NYSE,US,2026-02-07,ACTIVE,LOW,Y,OPS_RESTRICTED,2026-03-10
ACC-0000065,CUST-000321,SAFEKEEPING,SGD,SGX,SG,2022-11-27,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-06-14
ACC-0000066,CUST-000310,SEGREGATED,EUR,XETRA,DE,2025-11-29,ACTIVE,HIGH,Y,OPS_RESTRICTED,2025-04-13
ACC-0000067,CUST-000335,SAFEKEEPING,USD,NASDAQ,US,2025-06-16,ACTIVE,LOW,Y,OPS_STANDARD,2026-04-19
ACC-0000068,CUST-000248,OMNIBUS,USD,NASDAQ,US,2025-08-23,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-03-18
ACC-0000069,CUST-000168,PLEDGE,GBP,LSE,GB,2022-03-29,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-07
ACC-0000070,CUST-000247,OMNIBUS,USD,NASDAQ,US,2025-04-26,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-12-25
ACC-0000071,CUST-000433,PLEDGE,CAD,TSX,CA,2020-08-07,ACTIVE,LOW,Y,OPS_STANDARD,2025-04-23
ACC-0000072,CUST-000340,OMNIBUS,USD,NYSE,US,2020-05-30,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-22
ACC-0000073,CUST-000303,SEGREGATED,SGD,SGX,SG,2024-05-07,DORMANT,MEDIUM,Y,OPS_RESTRICTED,2025-03-25
ACC-0000074,CUST-000202,SEGREGATED,SGD,SGX,SG,2026-03-29,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-09-21
ACC-0000075,CUST-000030,PLEDGE,USD,NASDAQ,US,2023-05-29,ACTIVE,HIGH,Y,OPS_STANDARD,2025-03-15
ACC-0000076,CUST-000465,SEGREGATED,USD,NYSE,US,2026-02-22,ACTIVE,HIGH,Y,OPS_STANDARD,2026-03-08
ACC-0000077,CUST-000124,SAFEKEEPING,USD,NASDAQ,US,2020-10-26,DORMANT,LOW,Y,OPS_STANDARD,2025-08-08
ACC-0000078,CUST-000248,SAFEKEEPING,USD,NASDAQ,US,2025-09-06,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-01-01
ACC-0000079,CUST-000493,SEGREGATED,USD,NYSE,US,2022-06-25,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-01-02
ACC-0000080,CUST-000213,SAFEKEEPING,USD,NYSE,US,2025-08-11,ACTIVE,LOW,Y,OPS_STANDARD,2026-04-29
ACC-0000081,CUST-000202,SEGREGATED,SGD,SGX,SG,2026-02-19,ACTIVE,LOW,Y,OPS_STANDARD,2025-07-08
ACC-0000082,CUST-000462,CASH,CAD,TSX,CA,2023-11-02,ACTIVE,LOW,Y,OPS_STANDARD,2026-06-09
ACC-0000083,CUST-000243,OMNIBUS,AUD,ASX,AU,2025-08-20,ACTIVE,LOW,Y,OPS_STANDARD,2025-10-25
ACC-0000084,CUST-000220,CASH,CAD,TSX,CA,2026-03-31,ACTIVE,LOW,Y,OPS_STANDARD,2026-05-19
ACC-0000085,CUST-000104,CASH,CAD,TSX,CA,2025-10-04,ACTIVE,LOW,Y,OPS_STANDARD,2026-03-24
ACC-0000086,CUST-000183,PLEDGE,EUR,EURONEXT,FR,2022-05-08,ACTIVE,LOW,Y,OPS_STANDARD,2025-08-09
ACC-0000087,CUST-000129,SAFEKEEPING,USD,NASDAQ,US,2019-01-05,ACTIVE,LOW,Y,OPS_STANDARD,2025-02-17
ACC-0000088,CUST-000041,SEGREGATED,EUR,XETRA,DE,2019-05-12,ACTIVE,LOW,Y,OPS_STANDARD,2025-04-24
ACC-0000089,CUST-000226,OMNIBUS,EUR,EURONEXT,FR,2021-11-20,ACTIVE,HIGH,Y,OPS_STANDARD,2025-11-12
ACC-0000090,CUST-000334,OMNIBUS,GBP,LSE,GB,2018-12-01,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-20
ACC-0000091,CUST-000265,SAFEKEEPING,USD,NYSE,US,2025-12-01,ACTIVE,LOW,Y,OPS_STANDARD,2026-06-18
ACC-0000092,CUST-000245,OMNIBUS,USD,NYSE,US,2024-01-22,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-21
ACC-0000093,CUST-000325,PLEDGE,USD,NASDAQ,US,2024-09-19,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-05-20
ACC-0000094,CUST-000452,CASH,USD,NYSE,US,2023-03-03,ACTIVE,MEDIUM,Y,OPS_RESTRICTED,2026-04-10
ACC-0000095,CUST-000327,CASH,USD,NASDAQ,US,2020-03-15,ACTIVE,HIGH,Y,OPS_STANDARD,2026-01-23
ACC-0000096,CUST-000266,CASH,GBP,LSE,GB,2024-07-14,ACTIVE,LOW,Y,OPS_STANDARD,2025-07-13
ACC-0000097,CUST-000409,SEGREGATED,USD,NYSE,US,2021-09-20,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-03-30
ACC-0000098,CUST-000272,PLEDGE,EUR,XETRA,DE,2021-10-28,ACTIVE,LOW,Y,OPS_STANDARD,2026-03-01
ACC-0000099,CUST-000385,SAFEKEEPING,EUR,EURONEXT,FR,2023-06-25,ACTIVE,LOW,Y,OPS_STANDARD,2025-09-26
ACC-0000100,CUST-000241,OMNIBUS,CAD,TSX,CA,2021-11-24,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-08-23
ACC-0000101,CUST-000228,CASH,USD,NYSE,US,2024-04-23,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-10-06
ACC-0000102,CUST-000014,SAFEKEEPING,USD,NYSE,US,2023-09-23,DORMANT,LOW,Y,OPS_STANDARD,2026-01-20
ACC-0000103,CUST-000427,PLEDGE,USD,NYSE,US,2025-11-04,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-04
ACC-0000104,CUST-000217,SEGREGATED,CAD,TSX,CA,2017-08-31,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-02-01
ACC-0000105,CUST-000306,OMNIBUS,EUR,XETRA,DE,2023-07-29,ACTIVE,LOW,Y,OPS_STANDARD,2025-06-05
ACC-0000106,CUST-000246,SAFEKEEPING,SGD,SGX,SG,2023-03-30,ACTIVE,LOW,Y,OPS_STANDARD,2025-02-27
ACC-0000107,CUST-000303,SEGREGATED,SGD,SGX,SG,2025-09-27,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2026-04-19
ACC-0000108,CUST-000088,SAFEKEEPING,AUD,ASX,AU,2023-02-05,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-09-19
ACC-0000109,CUST-000065,SEGREGATED,GBP,LSE,GB,2023-01-19,ACTIVE,LOW,Y,OPS_STANDARD,2025-09-10
ACC-0000110,CUST-000281,OMNIBUS,GBP,LSE,GB,2025-06-24,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-05-22
ACC-0000111,CUST-000204,OMNIBUS,EUR,XETRA,DE,2022-05-07,ACTIVE,LOW,Y,OPS_STANDARD,2025-10-14
ACC-0000112,CUST-000415,SAFEKEEPING,EUR,XETRA,DE,2025-02-28,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-09-01
ACC-0000113,CUST-000430,SEGREGATED,CAD,TSX,CA,2022-01-14,ACTIVE,HIGH,Y,OPS_SENSITIVE,2025-03-19
ACC-0000114,CUST-000198,SAFEKEEPING,USD,NYSE,US,2026-01-21,ACTIVE,LOW,Y,OPS_STANDARD,2026-02-26
ACC-0000115,CUST-000199,OMNIBUS,EUR,EURONEXT,FR,2025-08-13,ACTIVE,LOW,Y,OPS_STANDARD,2025-01-11
ACC-0000116,CUST-000113,PLEDGE,GBP,LSE,GB,2020-11-11,DORMANT,MEDIUM,Y,OPS_STANDARD,2025-02-10
ACC-0000117,CUST-000491,SEGREGATED,EUR,XETRA,DE,2021-04-18,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-10-26
ACC-0000118,CUST-000437,SEGREGATED,USD,NYSE,US,2020-11-02,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-05-30
ACC-0000119,CUST-000396,SAFEKEEPING,AUD,ASX,AU,2021-11-26,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-04-02
ACC-0000120,CUST-000387,SEGREGATED,USD,NASDAQ,US,2026-03-10,ACTIVE,HIGH,Y,OPS_SENSITIVE,2025-08-15
ACC-0000121,CUST-000337,OMNIBUS,USD,NYSE,US,2025-12-11,CLOSED,HIGH,Y,OPS_STANDARD,2025-07-23
ACC-0000122,CUST-000118,CASH,USD,NASDAQ,US,2021-12-01,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-05-10
ACC-0000123,CUST-000310,PLEDGE,EUR,XETRA,DE,2025-08-26,ACTIVE,HIGH,Y,OPS_STANDARD,2025-05-28
ACC-0000124,CUST-000161,SAFEKEEPING,USD,NYSE,US,2020-08-11,ACTIVE,LOW,Y,OPS_STANDARD,2025-02-06
ACC-0000125,CUST-000469,PLEDGE,SGD,SGX,SG,2026-01-11,ACTIVE,LOW,Y,OPS_STANDARD,2025-03-28
ACC-0000126,CUST-000222,SAFEKEEPING,CAD,TSX,CA,2025-11-27,RESTRICTED,LOW,Y,OPS_RESTRICTED,2026-01-14
ACC-0000127,CUST-000108,SAFEKEEPING,JPY,TSE,JP,2023-04-15,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-04-15
ACC-0000128,CUST-000066,SAFEKEEPING,EUR,EURONEXT,FR,2025-10-10,RESTRICTED,LOW,Y,OPS_STANDARD,2026-04-06
ACC-0000129,CUST-000437,SAFEKEEPING,USD,NASDAQ,US,2020-04-05,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-11-12
ACC-0000130,CUST-000256,CASH,CAD,TSX,CA,2021-11-29,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-02-03
ACC-0000131,CUST-000008,SAFEKEEPING,EUR,XETRA,DE,2021-09-18,DORMANT,LOW,Y,OPS_STANDARD,2025-10-22
ACC-0000132,CUST-000192,OMNIBUS,CAD,TSX,CA,2024-11-16,ACTIVE,HIGH,Y,OPS_STANDARD,2026-02-17
ACC-0000133,CUST-000272,SAFEKEEPING,EUR,XETRA,DE,2019-12-21,ACTIVE,LOW,Y,OPS_STANDARD,2025-10-10
ACC-0000134,CUST-000190,SEGREGATED,USD,NYSE,US,2021-11-24,DORMANT,MEDIUM,Y,OPS_STANDARD,2025-08-06
ACC-0000135,CUST-000406,OMNIBUS,CAD,TSX,CA,2023-10-23,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-12-19
ACC-0000136,CUST-000374,SAFEKEEPING,USD,NASDAQ,US,2025-05-16,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-07-09
ACC-0000137,CUST-000475,PLEDGE,USD,NASDAQ,US,2024-08-15,ACTIVE,LOW,Y,OPS_STANDARD,2025-09-24
ACC-0000138,CUST-000369,PLEDGE,CAD,TSX,CA,2018-06-22,ACTIVE,LOW,Y,OPS_STANDARD,2026-04-10
ACC-0000139,CUST-000399,SEGREGATED,JPY,TSE,JP,2025-12-08,ACTIVE,LOW,Y,OPS_STANDARD,2025-05-02
ACC-0000140,CUST-000330,CASH,USD,NASDAQ,US,2022-10-09,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-04-15
ACC-0000141,CUST-000405,SAFEKEEPING,USD,NASDAQ,US,2025-11-30,ACTIVE,LOW,Y,OPS_STANDARD,2025-08-28
ACC-0000142,CUST-000070,SAFEKEEPING,USD,NYSE,US,2025-11-18,ACTIVE,LOW,Y,OPS_STANDARD,2026-06-30
ACC-0000143,CUST-000355,OMNIBUS,CAD,TSX,CA,2026-05-06,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-01-18
ACC-0000144,CUST-000458,SEGREGATED,USD,NASDAQ,US,2021-08-08,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-07
ACC-0000145,CUST-000448,SEGREGATED,CAD,TSX,CA,2018-11-28,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-02-24
ACC-0000146,CUST-000139,SEGREGATED,USD,NYSE,US,2025-06-24,ACTIVE,HIGH,Y,OPS_SENSITIVE,2025-05-08
ACC-0000147,CUST-000104,SAFEKEEPING,CAD,TSX,CA,2024-07-10,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-04-28
ACC-0000148,CUST-000383,CASH,AUD,ASX,AU,2024-05-02,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-02-15
ACC-0000149,CUST-000441,SAFEKEEPING,USD,NYSE,US,2025-03-04,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-11-11
ACC-0000150,CUST-000118,CASH,USD,NYSE,US,2018-01-19,ACTIVE,MEDIUM,Y,OPS_STANDARD,2026-06-26
ACC-0000151,CUST-000309,SAFEKEEPING,GBP,LSE,GB,2025-06-04,ACTIVE,LOW,Y,OPS_STANDARD,2025-04-12
ACC-0000152,CUST-000246,OMNIBUS,SGD,SGX,SG,2024-01-26,ACTIVE,LOW,Y,OPS_STANDARD,2025-05-09
ACC-0000153,CUST-000354,SEGREGATED,USD,NASDAQ,US,2026-02-02,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-11-14
ACC-0000154,CUST-000487,SEGREGATED,CAD,TSX,CA,2024-05-05,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-07-05
ACC-0000155,CUST-000158,OMNIBUS,USD,NASDAQ,US,2025-11-01,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-07-24
ACC-0000156,CUST-000005,CASH,USD,NYSE,US,2025-06-03,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-05-17
ACC-0000157,CUST-000462,SAFEKEEPING,CAD,TSX,CA,2025-07-23,ACTIVE,LOW,Y,OPS_STANDARD,2025-10-29
ACC-0000158,CUST-000226,OMNIBUS,EUR,EURONEXT,FR,2024-08-08,ACTIVE,HIGH,Y,OPS_SENSITIVE,2025-01-26
ACC-0000159,CUST-000402,PLEDGE,USD,NYSE,US,2022-05-04,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-05
ACC-0000160,CUST-000316,SEGREGATED,USD,NASDAQ,US,2025-06-27,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-10-31
ACC-0000161,CUST-000194,OMNIBUS,SGD,SGX,SG,2025-10-11,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-05-18
ACC-0000162,CUST-000257,SEGREGATED,USD,NASDAQ,US,2022-09-27,ACTIVE,LOW,Y,OPS_STANDARD,2025-10-05
ACC-0000163,CUST-000015,SEGREGATED,USD,NYSE,US,2025-12-27,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-02-10
ACC-0000164,CUST-000462,CASH,CAD,TSX,CA,2023-04-12,ACTIVE,LOW,Y,OPS_STANDARD,2025-04-26
ACC-0000165,CUST-000489,CASH,AUD,ASX,AU,2026-05-05,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-02-24
ACC-0000166,CUST-000364,PLEDGE,JPY,TSE,JP,2021-03-07,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-05-23
ACC-0000167,CUST-000228,SAFEKEEPING,USD,NYSE,US,2021-08-10,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-07-29
ACC-0000168,CUST-000233,SEGREGATED,USD,NYSE,US,2023-01-29,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-26
ACC-0000169,CUST-000354,PLEDGE,USD,NYSE,US,2026-05-18,ACTIVE,MEDIUM,Y,OPS_SENSITIVE,2025-03-22
ACC-0000170,CUST-000365,SEGREGATED,USD,NYSE,US,2024-05-14,ACTIVE,LOW,Y,OPS_SENSITIVE,2025-09-20
ACC-0000171,CUST-000090,SEGREGATED,USD,NASDAQ,US,2026-05-01,ACTIVE,HIGH,Y,OPS_STANDARD,2026-05-06
ACC-0000172,CUST-000327,PLEDGE,USD,NYSE,US,2021-10-12,ACTIVE,HIGH,Y,OPS_STANDARD,2026-04-02
ACC-0000173,CUST-000223,OMNIBUS,USD,NASDAQ,US,2017-07-10,ACTIVE,LOW,Y,OPS_STANDARD,2025-12-06
ACC-0000174,CUST-000132,SAFEKEEPING,USD,NYSE,US,2024-03-05,ACTIVE,HIGH,Y,OPS_STANDARD,2025-04-17
ACC-0000175,CUST-000304,SEGREGATED,USD,NASDAQ,US,2018-06-23,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-12-31
ACC-0000176,CUST-000030,OMNIBUS,USD,NASDAQ,US,2023-07-29,ACTIVE,HIGH,Y,OPS_RESTRICTED,2025-04-17
ACC-0000177,CUST-000275,SEGREGATED,USD,NYSE,US,2025-03-04,ACTIVE,LOW,Y,OPS_STANDARD,2026-03-11
ACC-0000178,CUST-000382,SEGREGATED,USD,NASDAQ,US,2019-11-07,ACTIVE,LOW,Y,OPS_RESTRICTED,2025-11-23
ACC-0000179,CUST-000101,PLEDGE,EUR,XETRA,DE,2021-11-23,DORMANT,MEDIUM,Y,OPS_STANDARD,2025-05-01
ACC-0000180,CUST-000103,OMNIBUS,USD,NYSE,US,2026-02-19,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-12-08
ACC-0000181,CUST-000020,SAFEKEEPING,EUR,EURONEXT,FR,2024-06-06,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-01-20
ACC-0000182,CUST-000280,OMNIBUS,USD,NASDAQ,US,2025-11-16,DORMANT,LOW,Y,OPS_STANDARD,2026-05-08
ACC-0000183,CUST-000014,OMNIBUS,USD,NASDAQ,US,2022-07-08,ACTIVE,LOW,Y,OPS_STANDARD,2025-02-27
ACC-0000184,CUST-000399,PLEDGE,JPY,TSE,JP,2023-09-10,ACTIVE,LOW,Y,OPS_STANDARD,2026-01-12
ACC-0000185,CUST-000057,PLEDGE,GBP,LSE,GB,2025-09-11,ACTIVE,LOW,Y,OPS_STANDARD,2026-05-07
ACC-0000186,CUST-000469,PLEDGE,SGD,SGX,SG,2025-08-26,ACTIVE,LOW,Y,OPS_STANDARD,2025-01-01
ACC-0000187,CUST-000149,CASH,AUD,ASX,AU,2023-10-31,ACTIVE,HIGH,Y,OPS_STANDARD,2025-07-10
ACC-0000188,CUST-000331,PLEDGE,USD,NASDAQ,US,2025-08-20,ACTIVE,LOW,Y,OPS_SENSITIVE,2026-05-23
ACC-0000189,CUST-000464,CASH,AUD,ASX,AU,2025-04-11,ACTIVE,MEDIUM,Y,OPS_STANDARD,2025-11-17
